"Era","GFR <= 20","GFR <= 25","GFR <= 30","GFR <= 35","GFR <= 40","GFR <= 45","GFR <= 50","GFR <= 55","GFR <= 60","GFR <= 65","GFR <= 70","GFR <= 75","GFR <= 80","GFR <= 85","GFR <= 90","GFR <= 95","GFR <=100","GFR <=105","GFR <=110","GFR <=115","GFR <=120","GFR <=125","GFR <=130","GFR <=135","GFR <=140"
"2003-2006","0.5","1.2","2.7","4.6","7.5","11.1","16.7","24.4","34.1","44.9","56.1","66.0","76.9","82.7","92.3","97.5","98.7","99.6","99.9",NA,NA,NA,NA,NA,NA
"2007-2010","0.7","1.6","2.9","4.5","7.1","10.8","14.8","21.2","29.2","38.6","50.3","61.4","70.4","79.9","89.4","96.2","98.8","99.6","99.9",NA,NA,NA,NA,NA,NA
"2011-2014","0.7","1.3","2.1","4.0","6.5"," 9.7","14.3","21.2","28.3","36.6","48.1","57.4","66.0","75.9","87.5","95.8","98.6","99.6","99.7",NA,NA,NA,NA,NA,NA
"2015-2018","0.5","0.8","1.7","2.8","5.0"," 8.3","12.5","18.5","25.5","34.3","44.6","54.2","63.2","75.1","86.5","94.4","97.6","99.4","99.8",NA,NA,NA,NA,NA,NA
