"Era","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5"
"2003-2006","6.0","4.0","4.9","0.5","0.2"
"2007-2010","6.4","2.6","5.0","0.5","0.3"
"2011-2014","6.7","4.1","4.8","0.8","0.5"
"2015-2018","6.0","3.5","5.4","0.7","0.3"
