"Era","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5"
"2003-2006","3.9","3.3","6.8","0.5","0.1"
"2007-2010","3.9","3.1","5.8","0.5","0.1"
"2011-2014","4.7","2.9","6.6","0.4","0.2"
"2015-2018","4.9","3.2","6.1","0.4","0.1"
