"GFR","2003-2006","2007-2010","2011-2014","2015-2018"
20,"0.3","0.5","0.7","0.5"
25,"0.5","0.5","1.0","0.7"
30,"0.8","0.8","1.3","1.0"
35,"1.2","1.1","1.6","1.4"
40,"1.7","1.5","2.3","1.9"
45,"2.2","1.9","2.9","2.8"
50,"3.3","3.0","3.6","3.8"
55,"4.1","4.4","4.7","4.9"
60,"5.6","5.8","6.2","6.4"
65,"8.0","7.6","8.2","8.9"
70,"11.4"," 9.8","11.5","11.9"
75,"14.5","12.7","15.8","15.9"
80,"19.0","17.3","19.8","19.9"
85,"24.1","22.1","25.6","25.1"
90,"31.4","27.3","32.0","31.0"
95,"38.7","34.7","38.7","36.4"
100,"46.6","41.8","46.2","43.3"
105,"55.4","50.7","54.0","51.0"
110,"62.3","58.3","61.3","58.7"
115,"69.6","67.0","69.3","66.7"
120,"75.8","73.1","76.4","73.0"
125,"83.0","78.5","81.3","78.8"
130,"86.8","84.0","86.4","84.3"
135,"90.2","89.5","89.7","88.3"
140,"93.5","93.6","92.8","92.0"
