"Era","GFR <= 20","GFR <= 25","GFR <= 30","GFR <= 35","GFR <= 40","GFR <= 45","GFR <= 50","GFR <= 55","GFR <= 60","GFR <= 65","GFR <= 70","GFR <= 75","GFR <= 80","GFR <= 85","GFR <= 90","GFR <= 95","GFR <=100","GFR <=105","GFR <=110","GFR <=115","GFR <=120","GFR <=125","GFR <=130","GFR <=135","GFR <=140"
"2003-2006","0.1","0.1","0.3","0.3","0.4","0.5","0.8","1.3","2.5","3.9","5.3","6.8","10.5","15.3","20.5","28.2","36.5","46.8","55.8","67.2","78.2","88.8","95.6","98.1","99.5"
"2007-2010","0.1","0.3","0.3","0.4","0.7","1.0","1.3","1.9","2.6","3.9","5.6","7.5"," 9.7","14.0","18.7","24.9","32.4","41.1","51.2","63.6","75.5","85.4","93.2","97.4","98.9"
"2011-2014","0.3","0.4","0.6","0.9","1.1","1.4","1.7","2.4","3.3","4.4","6.5","8.5","10.9","14.9","20.2","26.8","35.9","45.8","55.9","67.3","76.9","86.9","94.4","97.9","99.3"
"2015-2018","0.2","0.2","0.4","0.6","0.9","1.2","1.8","2.2","3.0","4.5","6.8","9.1","12.6","16.8","21.9","28.9","37.5","47.7","57.4","67.5","77.6","86.9","93.8","97.2","98.8"
