"Era","Stage","Percent"
"2003-2006","Stage 1","7.0"
"2003-2006","Stage 2","2.9"
"2003-2006","Stage 3","2.3"
"2003-2006","Stage 4","0.2"
"2003-2006","Stage 5","0.1"
"2007-10","Stage 1","6.4"
"2007-10","Stage 2","2.6"
"2007-10","Stage 3","2.3"
"2007-10","Stage 4","0.2"
"2007-10","Stage 5","0.1"
"2011-14","Stage 1","7.3"
"2011-14","Stage 2","2.0"
"2011-14","Stage 3","2.7"
"2011-14","Stage 4","0.4"
"2011-14","Stage 5","0.2"
"2015-2018","Stage 1","6.8"
"2015-2018","Stage 2","2.0"
"2015-2018","Stage 3","2.6"
"2015-2018","Stage 4","0.3"
"2015-2018","Stage 5","0.1"
