"GFR","2003-2006","2007-2010","2011-2014","2015-2018"
20,"0.1","0.1","0.2","0.1"
25,"0.1","0.1","0.2","0.2"
30,"0.1","0.1","0.3","0.2"
35,"0.2","0.2","0.4","0.2"
40,"0.2","0.3","0.5","0.3"
45,"0.3","0.4","0.6","0.3"
50,"0.7","0.5","0.9","0.6"
55,"1.1","0.9","1.6","0.9"
60,"2.0","1.7","2.6","1.8"
65,"3.5","2.8","4.2","3.8"
70,"6.3","5.3","7.1","6.2"
75,"11.3"," 8.8","10.9"," 9.2"
80,"17.6","14.1","15.7","14.1"
85,"26.0","20.1","22.2","20.2"
90,"34.5","27.9","30.3","27.8"
95,"44.0","36.9","39.6","36.4"
100,"54.4","47.8","49.7","46.8"
105,"65.1","58.8","60.1","57.7"
110,"74.5","68.6","69.9","67.6"
115,"81.5","77.8","79.0","76.4"
120,"88.1","85.6","86.3","84.5"
125,"94.3","91.5","92.2","90.9"
130,"97.0","95.7","96.0","95.3"
135,"98.3","97.9","97.8","97.4"
140,"99.1","98.8","98.8","98.6"
