"Era","Stage","Percent"
"2003-2006","Stage 1","1.5"
"2003-2006","Stage 2","9.2"
"2003-2006","Stage 3","31.4"
"2003-2006","Stage 4","2.5"
"2003-2006","Stage 5","0.2"
"2007-10","Stage 1","1.8"
"2007-10","Stage 2","9.9"
"2007-10","Stage 3","26.4"
"2007-10","Stage 4","2.5"
"2007-10","Stage 5","0.4"
"2011-14","Stage 1","1.7"
"2011-14","Stage 2","9.0"
"2011-14","Stage 3","26.2"
"2011-14","Stage 4","1.9"
"2011-14","Stage 5","0.2"
"2015-2018","Stage 1","2.2"
"2015-2018","Stage 2","9.7"
"2015-2018","Stage 3","23.7"
"2015-2018","Stage 4","1.5"
"2015-2018","Stage 5","0.3"
