"Era","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5"
"2003-2006","7.0","2.9","2.3","0.2","0.1"
"2007-2010","6.4","2.6","2.3","0.2","0.1"
"2011-2014","7.3","2.0","2.7","0.4","0.2"
"2015-2018","6.8","2.0","2.6","0.3","0.1"
