"Era","GFR <= 20","GFR <= 25","GFR <= 30","GFR <= 35","GFR <= 40","GFR <= 45","GFR <= 50","GFR <= 55","GFR <= 60","GFR <= 65","GFR <= 70","GFR <= 75","GFR <= 80","GFR <= 85","GFR <= 90","GFR <= 95","GFR <=100","GFR <=105","GFR <=110","GFR <=115","GFR <=120","GFR <=125","GFR <=130","GFR <=135","GFR <=140"
"2003-2006","0.2","0.3","0.7","1.2","1.8","2.6","4.2","6.0","8.6","12.0","16.6","22.6","28.6","36.2","44.5","52.3","60.4","69.0","77.1","82.9","88.4","94.0","96.5","97.9","98.8"
"2007-2010","0.2","0.5","0.7","1.2","1.9","2.8","3.7","5.4","7.5"," 9.8","14.1","19.2","24.7","30.9","38.4","46.9","55.6","63.7","71.4","79.4","86.4","91.3","95.4","97.6","98.5"
"2011-2014","0.3","0.4","0.7","1.3","1.9","2.6","3.8","5.5","7.9","10.9","15.2","19.6","24.7","31.8","39.5","48.0","55.7","64.5","72.4","80.1","86.3","91.8","95.6","97.5","98.6"
"2015-2018","0.2","0.3","0.5","0.8","1.3","2.3","3.5","5.2","7.2","11.0","14.7","19.0","24.0","31.1","38.7","45.9","54.8","63.6","71.3","78.8","84.8","90.5","95.0","97.1","98.4"
