"Era","< 10 mg/g","10-29 mg/g","30-299 mg/g",">= 300 mg/g"
"2003-2006","66.3 ","24.2 ","8.3 ","1.2 "
"2007-2010","66.8 ","23.8 ","8.1 ","1.3 "
"2011-2014","61.5 ","27.6 ","9.7 ","1.2 "
"2015-2018","61.7 ","27.8 ","8.8 ","1.7 "
