"Era","Stage","Percent"
"2003-2006","Stage 1","3.2"
"2003-2006","Stage 2","3.5"
"2003-2006","Stage 3","5.6"
"2003-2006","Stage 4","0.4"
"2003-2006","Stage 5","0.1"
"2007-10","Stage 1","3.4"
"2007-10","Stage 2","3.1"
"2007-10","Stage 3","4.7"
"2007-10","Stage 4","0.3"
"2007-10","Stage 5","0.1"
"2011-14","Stage 1","3.9"
"2011-14","Stage 2","2.7"
"2011-14","Stage 3","5.9"
"2011-14","Stage 4","0.3"
"2011-14","Stage 5","0.2"
"2015-2018","Stage 1","4.1"
"2015-2018","Stage 2","3.4"
"2015-2018","Stage 3","5.4"
"2015-2018","Stage 4","0.3"
"2015-2018","Stage 5","0.2"
