"GFR","2003-2006","2007-2010","2011-2014","2015-2018"
20,"0.1","0.2","0.3","0.2"
25,"0.3","0.4","0.4","0.3"
30,"0.6","0.6","0.6","0.5"
35,"0.9","0.9","1.1","0.8"
40,"1.4","1.4","1.6","1.2"
45,"2.1","2.1","2.2","1.9"
50,"3.4","2.9","3.3","2.9"
55,"5.0","4.3","5.1","4.4"
60,"7.4","6.4","7.2","6.6"
65,"10.5"," 8.9","10.0"," 9.9"
70,"14.7","12.9","14.3","13.9"
75,"20.5","17.7","19.1","18.2"
80,"27.6","23.7","24.6","23.9"
85,"35.5","30.2","31.7","31.2"
90,"44.2","38.3","40.5","39.5"
95,"53.0","46.9","49.6","48.0"
100,"61.8","56.5","58.4","56.9"
105,"70.9","65.7","67.1","66.1"
110,"78.8","73.9","75.2","74.0"
115,"84.6","81.6","82.7","81.1"
120,"90.1","88.0","88.8","87.6"
125,"95.3","92.9","93.6","92.7"
130,"97.5","96.4","96.7","96.2"
135,"98.6","98.3","98.2","97.9"
140,"99.2","99.0","99.0","98.9"
