"Era","Stage","Percent"
"2003-2006","Stage 1","4.4"
"2003-2006","Stage 2","2.1"
"2003-2006","Stage 3","1.8"
"2003-2006","Stage 4","0.1"
"2003-2006","Stage 5","0.0"
"2007-10","Stage 1","4.4"
"2007-10","Stage 2","1.7"
"2007-10","Stage 3","1.6"
"2007-10","Stage 4","0.1"
"2007-10","Stage 5","0.1"
"2011-14","Stage 1","5.3"
"2011-14","Stage 2","1.6"
"2011-14","Stage 3","2.4"
"2011-14","Stage 4","0.1"
"2011-14","Stage 5","0.2"
"2015-2018","Stage 1","5.5"
"2015-2018","Stage 2","1.5"
"2015-2018","Stage 3","1.6"
"2015-2018","Stage 4","0.1"
"2015-2018","Stage 5","0.1"
