"Era","< 10 mg/g","10-29 mg/g","30-299 mg/g",">= 300 mg/g"
"2003-2006","75.0 ","18.0 ","6.1 ","0.9 "
"2007-2010","76.1 ","17.4 ","5.4 ","1.0 "
"2011-2014","72.2 ","19.9 ","6.8 ","1.0 "
"2015-2018","72.7 ","19.7 ","6.3 ","1.3 "
