"Era","Stage 1","Stage 2","Stage 3","Stage 4","Stage 5"
"2003-2006","3.2","3.5","5.6","0.4","0.1"
"2007-2010","3.4","3.1","4.7","0.3","0.1"
"2011-2014","3.9","2.7","5.9","0.3","0.2"
"2015-2018","4.1","3.4","5.4","0.3","0.2"
